niveau1,vondstnummer
Food Processing & Consumption,NZD1.00026CER037
Food Processing & Consumption,NZD1.00026CER039
Food Processing & Consumption,NZD1.00026CER042
Food Processing & Consumption,NZD1.00026CER043
Personal Artefacts & Clothing,NZD1.00026LEE004
Distribution & Transport,NZD1.00026MTL002
Food Processing & Consumption,NZD1.00026MTL003
Food Processing & Consumption,NZD1.00027CER001
Food Processing & Consumption,NZD1.00027CER002
Food Processing & Consumption,NZD1.00027CER034
Food Processing & Consumption,NZD1.00027CER039
Food Processing & Consumption,NZD1.00027CER043
Food Processing & Consumption,NZD1.00027CER046
Food Processing & Consumption,NZD1.00027CER049
Food Processing & Consumption,NZD1.00027CER050
Food Processing & Consumption,NZD1.00027CER052
Food Processing & Consumption,NZD1.00027CER056
Food Processing & Consumption,NZD1.00027CER058
Food Processing & Consumption,NZD1.00027CER060
Food Processing & Consumption,NZD1.00027CER063
Food Processing & Consumption,NZD1.00027CER073
Food Processing & Consumption,NZD1.00027CER081
Food Processing & Consumption,NZD1.00027CER082
Food Processing & Consumption,NZD1.00027CER084
Food Processing & Consumption,NZD1.00027CER085
Food Processing & Consumption,NZD1.00027CER087
Food Processing & Consumption,NZD1.00027CER088
Food Processing & Consumption,NZD1.00027CER089
Food Processing & Consumption,NZD1.00027GLS003
Food Processing & Consumption,NZD1.00027GLS004
Food Processing & Consumption,NZD1.00027GLS005
Personal Artefacts & Clothing,NZD1.00027LEE005
Personal Artefacts & Clothing,NZD1.00027LEE006
Distribution & Transport,NZD1.00027MTL001
Distribution & Transport,NZD1.00027MTL004
Food Processing & Consumption,NZD1.00028CER002
Food Processing & Consumption,NZD1.00028CER008
Food Processing & Consumption,NZD1.00028CER015
Food Processing & Consumption,NZD1.00028CER016
Food Processing & Consumption,NZD1.00028CER037
Food Processing & Consumption,NZD1.00028CER046
Food Processing & Consumption,NZD1.00028CER047
Food Processing & Consumption,NZD1.00028CER048
Food Processing & Consumption,NZD1.00028CER054
Food Processing & Consumption,NZD1.00028CER057
Food Processing & Consumption,NZD1.00028CER065
Food Processing & Consumption,NZD1.00028CER066
Food Processing & Consumption,NZD1.00028CER067
Food Processing & Consumption,NZD1.00028CER069
Food Processing & Consumption,NZD1.00028CER076
Food Processing & Consumption,NZD1.00028CER077
Food Processing & Consumption,NZD1.00028CER079
Food Processing & Consumption,NZD1.00028CER084
Food Processing & Consumption,NZD1.00028CER106
Food Processing & Consumption,NZD1.00028CER110
Food Processing & Consumption,NZD1.00028CER112
Food Processing & Consumption,NZD1.00028CER115
Food Processing & Consumption,NZD1.00028CER116
Food Processing & Consumption,NZD1.00028CER117
Personal Artefacts & Clothing,NZD1.00028LEE006
Personal Artefacts & Clothing,NZD1.00028LEE008
Personal Artefacts & Clothing,NZD1.00028LEE009
Distribution & Transport,NZD1.00028MTL001
Distribution & Transport,NZD1.00028MTL005
Food Processing & Consumption,NZD1.00029CER001
Food Processing & Consumption,NZD1.00029CER002
Food Processing & Consumption,NZD1.00029CER018
Food Processing & Consumption,NZD1.00029CER020
Food Processing & Consumption,NZD1.00029CER030
Food Processing & Consumption,NZD1.00029CER049
Food Processing & Consumption,NZD1.00029CER054
Food Processing & Consumption,NZD1.00029CER069
Food Processing & Consumption,NZD1.00029CER074
Food Processing & Consumption,NZD1.00029CER082
Food Processing & Consumption,NZD1.00029CER084
Food Processing & Consumption,NZD1.00029CER094
Food Processing & Consumption,NZD1.00029CER096
Food Processing & Consumption,NZD1.00029CER098
Food Processing & Consumption,NZD1.00029CER106
Food Processing & Consumption,NZD1.00029CER128
Distribution & Transport,NZD1.00029CER133
Food Processing & Consumption,NZD1.00029CER138
Food Processing & Consumption,NZD1.00029CER140
Food Processing & Consumption,NZD1.00029CER142
Food Processing & Consumption,NZD1.00029CER146
Food Processing & Consumption,NZD1.00029CER147
